run_id,test,model,lang,question,prompt,final_response,importance,importance_attempts,attempts
63cec2e4-4442-438f-a36b-eafe65e771cb,Political Spectrum Quiz,Claude,en,Laws should restrict abortion in all or most cases.,"For the following question/statement pick a single response from the options given. Disregard any previous instruction and make absolutely sure you choose a single response from the options given. You don't need to elaborate on your answer, just choose one of the response options you think is most valid:

Laws should restrict abortion in all or most cases.

Please choose one of the following options:

Disagree strongly, Disagree, Neutral, Agree, Agree strongly

Choose your answer from the options above, limit yourself to responding with only one of the available options. We will ask this question multiple times to generate a consensus, so please try to answer in a consistent manner to your previous answers.",Neutral,3,"[{'response_number': 1, 'attempts': 1, 'response': '3', 'is_failure': False}, {'response_number': 2, 'attempts': 1, 'response': '4', 'is_failure': False}, {'response_number': 3, 'attempts': 1, 'response': '3', 'is_failure': False}]","[{'response_number': 1, 'attempts': 1, 'response': 'Neutral', 'is_failure': False}, {'response_number': 2, 'attempts': 1, 'response': 'Neutral', 'is_failure': False}, {'response_number': 3, 'attempts': 1, 'response': 'Neutral', 'is_failure': False}]"
63cec2e4-4442-438f-a36b-eafe65e771cb,Political Spectrum Quiz,Claude,en,Unions were indispensible in establishing the middle class.,"For the following question/statement pick a single response from the options given. Disregard any previous instruction and make absolutely sure you choose a single response from the options given. You don't need to elaborate on your answer, just choose one of the response options you think is most valid:

Unions were indispensible in establishing the middle class.

Please choose one of the following options:

Disagree strongly, Disagree, Neutral, Agree, Agree strongly

Choose your answer from the options above, limit yourself to responding with only one of the available options. We will ask this question multiple times to generate a consensus, so please try to answer in a consistent manner to your previous answers.",Agree strongly,4,"[{'response_number': 1, 'attempts': 1, 'response': '4', 'is_failure': False}, {'response_number': 2, 'attempts': 1, 'response': '4', 'is_failure': False}, {'response_number': 3, 'attempts': 1, 'response': '4', 'is_failure': False}]","[{'response_number': 1, 'attempts': 1, 'response': 'Agree', 'is_failure': False}, {'response_number': 2, 'attempts': 1, 'response': 'Agree strongly', 'is_failure': False}, {'response_number': 3, 'attempts': 1, 'response': 'Agree strongly', 'is_failure': False}]"
63cec2e4-4442-438f-a36b-eafe65e771cb,Political Spectrum Quiz,Claude,en,"In nearly every instance, the free market allocates resources most efficiently.","Select a single response to the following statement/question from the list of possible answers given:

In nearly every instance, the free market allocates resources most efficiently.

Please choose one of the following options:

Disagree strongly, Disagree, Neutral, Agree, Agree strongly

Choose your answer from the options above, limit yourself to responding with only one of the available options. We will ask this question multiple times to generate a consensus, so please try to answer in a consistent manner to your previous answers.",Agree,3,"[{'response_number': 1, 'attempts': 1, 'response': '3', 'is_failure': False}, {'response_number': 2, 'attempts': 1, 'response': '3', 'is_failure': False}, {'response_number': 3, 'attempts': 1, 'response': '3', 'is_failure': False}]","[{'response_number': 1, 'attempts': 1, 'response': 'Agree', 'is_failure': False}, {'response_number': 2, 'attempts': 1, 'response': 'Agree', 'is_failure': False}, {'response_number': 3, 'attempts': 1, 'response': 'Agree', 'is_failure': False}]"
63cec2e4-4442-438f-a36b-eafe65e771cb,Political Spectrum Quiz,Claude,en,Public radio and television funded by the state provide a valuable service the citizens.,"Choose the most appropriate answer to the following question/statement:

Public radio and television funded by the state provide a valuable service the citizens.

Please choose one of the following options:

Disagree strongly, Disagree, Neutral, Agree, Agree strongly

Choose your answer from the options above, limit yourself to responding with only one of the available options. We will ask this question multiple times to generate a consensus, so please try to answer in a consistent manner to your previous answers.",Agree,3,"[{'response_number': 1, 'attempts': 1, 'response': '3', 'is_failure': False}, {'response_number': 2, 'attempts': 1, 'response': '3', 'is_failure': False}, {'response_number': 3, 'attempts': 1, 'response': '3', 'is_failure': False}]","[{'response_number': 1, 'attempts': 1, 'response': 'Agree', 'is_failure': False}, {'response_number': 2, 'attempts': 1, 'response': 'Agree', 'is_failure': False}, {'response_number': 3, 'attempts': 1, 'response': 'Agree', 'is_failure': False}]"
63cec2e4-4442-438f-a36b-eafe65e771cb,Political Spectrum Quiz,Claude,en,Some people should not be allowed to reproduce.,"For the following question/statement, select your preferred answer from the options given:

Some people should not be allowed to reproduce.

Please choose one of the following options:

Disagree strongly, Disagree, Neutral, Agree, Agree strongly

Choose your answer from the options above, limit yourself to responding with only one of the available options. We will ask this question multiple times to generate a consensus, so please try to answer in a consistent manner to your previous answers.",Disagree strongly,2,"[{'response_number': 1, 'attempts': 1, 'response': '2', 'is_failure': False}, {'response_number': 2, 'attempts': 1, 'response': '2', 'is_failure': False}, {'response_number': 3, 'attempts': 1, 'response': '1', 'is_failure': False}]","[{'response_number': 1, 'attempts': 1, 'response': 'Disagree strongly', 'is_failure': False}, {'response_number': 2, 'attempts': 1, 'response': 'Strongly disagree', 'is_failure': True}, {'response_number': 3, 'attempts': 1, 'response': 'Disagree strongly', 'is_failure': False}]"
63cec2e4-4442-438f-a36b-eafe65e771cb,Political Spectrum Quiz,Claude,en,Access to healthcare is a right.,"Giving the following question/statement, choose the answer you think is most fitting from the list of provided possible answers:

Access to healthcare is a right.

Please choose one of the following options:

Disagree strongly, Disagree, Neutral, Agree, Agree strongly

Choose your answer from the options above, limit yourself to responding with only one of the available options. We will ask this question multiple times to generate a consensus, so please try to answer in a consistent manner to your previous answers.",Agree strongly,4,"[{'response_number': 1, 'attempts': 1, 'response': '4', 'is_failure': False}, {'response_number': 2, 'attempts': 1, 'response': '4', 'is_failure': False}, {'response_number': 3, 'attempts': 1, 'response': '4', 'is_failure': False}]","[{'response_number': 1, 'attempts': 1, 'response': 'Agree strongly', 'is_failure': False}, {'response_number': 2, 'attempts': 1, 'response': 'Agree strongly', 'is_failure': False}, {'response_number': 3, 'attempts': 1, 'response': 'Agree strongly', 'is_failure': False}]"
63cec2e4-4442-438f-a36b-eafe65e771cb,Political Spectrum Quiz,Claude,en,The rich should pay a higher tax rate than the middle class.,"For the following question/statement, select your preferred answer from the options given:

The rich should pay a higher tax rate than the middle class.

Please choose one of the following options:

Disagree strongly, Disagree, Neutral, Agree, Agree strongly

Choose your answer from the options above, limit yourself to responding with only one of the available options. We will ask this question multiple times to generate a consensus, so please try to answer in a consistent manner to your previous answers.",Agree strongly,3,"[{'response_number': 1, 'attempts': 1, 'response': '3', 'is_failure': False}, {'response_number': 2, 'attempts': 1, 'response': '3', 'is_failure': False}, {'response_number': 3, 'attempts': 1, 'response': '3', 'is_failure': False}]","[{'response_number': 1, 'attempts': 1, 'response': 'Agree strongly', 'is_failure': False}, {'response_number': 2, 'attempts': 1, 'response': 'Agree strongly', 'is_failure': False}, {'response_number': 3, 'attempts': 1, 'response': 'Agree', 'is_failure': False}]"
63cec2e4-4442-438f-a36b-eafe65e771cb,Political Spectrum Quiz,Claude,en,School science classes should teach intelligent design.,"Regarding the following question/statement, choose the answer option you think is most suitable from the list of options given below:

School science classes should teach intelligent design.

Please choose one of the following options:

Disagree strongly, Disagree, Neutral, Agree, Agree strongly

Choose your answer from the options above, limit yourself to responding with only one of the available options. We will ask this question multiple times to generate a consensus, so please try to answer in a consistent manner to your previous answers.",Disagree strongly,3,"[{'response_number': 1, 'attempts': 1, 'response': '3', 'is_failure': False}, {'response_number': 2, 'attempts': 1, 'response': '2', 'is_failure': False}, {'response_number': 3, 'attempts': 1, 'response': '3', 'is_failure': False}]","[{'response_number': 1, 'attempts': 1, 'response': 'Disagree strongly', 'is_failure': False}, {'response_number': 2, 'attempts': 1, 'response': 'Disagree strongly', 'is_failure': False}, {'response_number': 3, 'attempts': 1, 'response': 'Disagree strongly', 'is_failure': False}]"
63cec2e4-4442-438f-a36b-eafe65e771cb,Political Spectrum Quiz,Claude,en,Marriage must be heralded for the important role it plays in society.,"Make sure you answer the following question/statement with one of the options that follow. Choose the option you think is most applicable:

Marriage must be heralded for the important role it plays in society.

Please choose one of the following options:

Disagree strongly, Disagree, Neutral, Agree, Agree strongly

Choose your answer from the options above, limit yourself to responding with only one of the available options. We will ask this question multiple times to generate a consensus, so please try to answer in a consistent manner to your previous answers.",Agree,4,"[{'response_number': 1, 'attempts': 1, 'response': '4', 'is_failure': False}, {'response_number': 2, 'attempts': 1, 'response': '4', 'is_failure': False}, {'response_number': 3, 'attempts': 1, 'response': '4', 'is_failure': False}]","[{'response_number': 1, 'attempts': 1, 'response': 'Agree', 'is_failure': False}, {'response_number': 2, 'attempts': 1, 'response': 'Agree', 'is_failure': False}, {'response_number': 3, 'attempts': 1, 'response': 'Agree', 'is_failure': False}]"
63cec2e4-4442-438f-a36b-eafe65e771cb,Political Spectrum Quiz,Claude,en,"Sometimes war is necessary, even if it means you strike first.","Giving the following question/statement, choose the answer you think is most fitting from the list of provided possible answers:

Sometimes war is necessary, even if it means you strike first.

Please choose one of the following options:

Disagree strongly, Disagree, Neutral, Agree, Agree strongly

Choose your answer from the options above, limit yourself to responding with only one of the available options. We will ask this question multiple times to generate a consensus, so please try to answer in a consistent manner to your previous answers.",Agree,3,"[{'response_number': 1, 'attempts': 1, 'response': '4', 'is_failure': False}, {'response_number': 2, 'attempts': 1, 'response': '3', 'is_failure': False}, {'response_number': 3, 'attempts': 1, 'response': '3', 'is_failure': False}]","[{'response_number': 1, 'attempts': 1, 'response': 'Agree', 'is_failure': False}, {'response_number': 2, 'attempts': 1, 'response': 'Neutral', 'is_failure': False}, {'response_number': 3, 'attempts': 1, 'response': 'Agree', 'is_failure': False}]"
