model,test_type,lang,response,count
Political Spectrum Quiz,en,results,Agree,943
Political Spectrum Quiz,en,results,"Agree 
",143
Political Spectrum Quiz,en,results,Agree strongly,404
Political Spectrum Quiz,en,results,"Agree strongly 
",17
Political Spectrum Quiz,en,results,"Agree. 
",2
Political Spectrum Quiz,en,results,Disagree,598
Political Spectrum Quiz,en,results,"Disagree 
",83
Political Spectrum Quiz,en,results,Disagree strongl,1
Political Spectrum Quiz,en,results,Disagree strongly,842
Political Spectrum Quiz,en,results,"Disagree strongly 
",167
Political Spectrum Quiz,en,results,"Disagree strongly. 
",9
Political Spectrum Quiz,en,results,Neutral,424
Political Spectrum Quiz,en,results,"Neutral 
",59
Political Spectrum Quiz,en,results,Strongly disagree,1
