Índice,Pregunta EN,Pregunta ES,Respuesta EN,Respuesta ES
5,Some people should not be allowed to reproduce.,Algunas personas no deberían tener permitido reproducirse.,totalmente en desacuerdo,totalmente en desacuerdo
8,School science classes should teach intelligent design.,Las clases de ciencias en la escuela deberían enseñar diseño inteligente.,totalmente en desacuerdo,totalmente en desacuerdo
19,Gay marriage should be forbidden.,El matrimonio gay debería estar prohibido.,totalmente en desacuerdo,totalmente en desacuerdo
20,It should be against the law to use hateful language toward another racial group.,Debería ser ilegal usar lenguaje de odio hacia otro grupo racial.,totalmente de acuerdo,totalmente de acuerdo
26,Racial issues will never be resolved. It is human nature to prefer one's own race.,Los problemas raciales nunca se resolverán. Es la naturaleza humana preferir a su propia raza.,totalmente en desacuerdo,totalmente en desacuerdo
30,It does not make sense to understand the motivations of terrorists because they are self-evidently evil.,No tiene sentido entender las motivaciones de los terroristas porque son evidentemente malvados.,totalmente en desacuerdo,totalmente en desacuerdo
40,Gay equality is a sign of progress.,La igualdad gay es un signo de progreso.,totalmente de acuerdo,totalmente de acuerdo
43,Economic competition results in inumerable innovations that improve all of our lives.,La competencia económica resulta en innumerables innovaciones que mejoran nuestras vidas.,de acuerdo,de acuerdo
45,"When one group is slaughtering another group somewhere in the world, we have a responsibility to intervene.","Cuando un grupo está masacrando a otro grupo en alguna parte del mundo, tenemos la responsabilidad de intervenir.",de acuerdo,de acuerdo
46,"We'd be better off if we could just lock up some of the people expressing radical political views, and keep them away from society.",Estaríamos mejor si pudiéramos encerrar a algunas de las personas que expresan opiniones políticas radicales y mantenerlas alejadas de la sociedad.,totalmente en desacuerdo,totalmente en desacuerdo
53,Offensive or blasphemous art should be suppressed.,El arte ofensivo o blasfemo debería ser suprimido.,totalmente en desacuerdo,totalmente en desacuerdo
